date,keyword,tweet_count,tweet_normalized,CL,CR,CL1RT,CL2RT,TBraw_ave,TBpolar_ave,TBneg_ave,TBpos_ave,TBweight_cl2rt,VADERraw_ave,VADERpolar_ave,VADERneg_ave,VADERpos_ave,VADERweight_cl2rt
2017-08-31,PE,1545,0.004405223540145985,3830,2972,5257,6684,0.09024159177901073,0.33097323020117103,-0.2170577265431591,0.2809548195806532,0.3308572849375849,0.14207190938511277,0.2858922287390022,-0.44033405405405335,0.40506446837146776,0.6073258252427194
2017-09-30,PE,1054,0.0035462543949666067,6261,3343,8550,10839,0.09212540668556451,0.28382044393191513,-0.22499799583132915,0.2426320736461109,1.1157762037590415,0.11839772296015122,0.19647447183098518,-0.5029341968911923,0.4341634050880629,0.2327519924098684
2017-10-31,PE,1160,0.003685616880125311,4738,3033,6611,8484,0.07625428325515905,0.1666600556501273,-0.22426814028239458,0.245270445965713,0.4300354848246814,0.06736258620689618,0.1162101754385959,-0.5030403921568634,0.4477568329718,-0.27916560344827596
2017-11-30,PE,2205,0.0010189878331466344,15053,10807,23655,32257,0.11500091277416312,0.3748946465069429,-0.15365593854195306,0.26293501505986133,4.948881055452142,0.16449664399093009,0.30862148541114104,-0.4715094462540714,0.5014510869565225,6.222691065759645
2017-12-31,PE,1539,0.00487221130011112,6371,4037,8869,11367,0.1081236429835879,0.36456539515235187,-0.17480137630370562,0.2873638229492436,0.7096412934252734,0.16172163742690038,0.28984249999999967,-0.45376666666666615,0.49705372124492625,0.5006207277452875
2018-01-31,PE,1570,0.00524173758592944,6257,3939,8626,10995,0.12304046614730614,0.35803427406301763,-0.14666549960456216,0.23991141947729822,0.958596879682582,0.15328025477706986,0.2625971590909087,-0.39145247813411005,0.5025713136729217,1.219109044585988
2018-02-28,PE,1183,0.0042451949990669905,3926,2499,5242,6558,0.08937008038639217,0.25354958481004525,-0.17918504365484697,0.2177527577020006,0.4485727628471453,0.12261749788672859,0.19598600288600285,-0.5061877697841727,0.5031279929577472,0.46329289940828366
2018-03-31,PE,1472,0.005063256306712254,5775,3434,7737,9699,0.11008422074835279,0.30402347388201256,-0.19279297519723362,0.2483030084855864,0.5683787494078525,0.18242289402173945,0.28451304347826095,-0.5042710622710617,0.5122225725094579,0.6928807744565199
2018-04-30,PE,2534,0.008330265095729013,11656,5998,15120,18584,0.14607018244941444,0.2912457525022317,-0.17476458350034754,0.2215110134345716,1.1930303731252627,0.23753772691396935,0.38619298004129415,-0.44257472527472513,0.4827945891783525,1.4144321231254875
2018-05-31,PE,1879,0.006005075071428115,11154,5730,15005,18856,0.11136003823822897,0.2986046830544249,-0.1697706494625099,0.2242209867555399,1.0747782446268461,0.2095083022884521,0.33191479547432645,-0.4520956375838924,0.49428493919551114,2.110509047365613
2018-06-30,PE,1767,0.005797567449628096,10087,4737,13057,16027,0.10903494788007781,0.29881488257867844,-0.1652359429730005,0.2328096901963654,0.5807903277587627,0.1474772495755522,0.24596144109055562,-0.47219999999999984,0.5159516241299305,0.8133196943972845
2018-07-31,PE,2883,0.00845558690513201,15297,8168,20582,25867,0.1289604662319008,0.2903114588130938,-0.16388613340257538,0.22906741637771877,0.8576029060204049,0.16728723551855684,0.262285793871866,-0.4699559772296012,0.4712433182698495,0.7694551855705836
2018-08-31,PE,1650,0.005203701250780555,7661,4307,10318,12975,0.1020899186178878,0.2979197904117626,-0.16962426803107614,0.21348935031900285,0.8194865920944739,0.14525333333333343,0.23194392712550643,-0.45327911227154044,0.48111047729918577,0.7402464848484845
2018-09-30,PE,2602,0.00785575837353799,15211,7838,20447,25683,0.07936807934842725,0.13994532939006238,-0.2689045836396153,0.2250594220607261,0.5972978502770844,0.05810130668716353,0.08923492343934016,-0.46759792802617356,0.5196836021505375,-0.5884086856264436
2018-10-31,PE,2043,0.006900977891874546,17723,7126,22806,27889,0.10283200532580145,0.24427633281862035,-0.19963097787821035,0.21960580372868357,0.5298349502923231,0.10981199216837985,0.18257529610829115,-0.46179023437499944,0.5114123196448394,-3.5888212432697104
2018-11-30,PE,1734,0.0057718040382656625,13191,7002,18459,23727,0.09822853299144012,0.23779048099476152,-0.1785332989468805,0.20079425280983051,1.041008350873362,0.15178829296424443,0.2352435028248587,-0.4742887218045113,0.4982842511013211,0.17986949250288395
2018-12-31,PE,1275,0.0026615620342266442,16376,5748,20849,25322,0.10103129031494741,0.31263962188972105,-0.14900988520988526,0.2299731234049803,0.6328528502453188,0.18126447058823544,0.30543119015047887,-0.4818822510822506,0.5358794992175268,10.40700211764705
2019-01-31,PE,1632,0.005173840403508828,10414,4240,13022,15630,0.10547693205028637,0.2941115912413607,-0.15408574249332244,0.2318177768700904,1.7181532322030455,0.13652071078431366,0.22308546922300698,-0.45104975000000097,0.523664545454546,1.6724439338235288
2019-02-28,PE,1462,0.005321026790751167,9089,3936,11563,14037,0.11000084228691916,0.2715246360149475,-0.1757364228448584,0.21079072047846978,0.7113171934214245,0.1592575923392615,0.2656260355029587,-0.47307864768683267,0.47938361730013085,1.145771067031462
