date,keyword,TBraw,VADERraw,TBstance,VADERstance,TBstanceweight,VADERstanceweight,CR_lognorm,TBraw_log,VADERraw_log,TBstance_log,VADERstance_log,TBstanceweight_log,VADERstanceweight_log,CR_lognorm_log,TBraw_log_stl,VADERraw_log_stl,TBstance_log_stl,VADERstance_log_stl,TBstanceweight_log_stl,VADERstanceweight_log_stl,CR_lognorm_log_stl,TBraw_stl,VADERraw_stl,TBstance_stl,VADERstance_stl,TBstanceweight_stl,VADERstanceweight_stl,CR_lognorm_stl
2009-11-30,PU+,0.16997222225333336,0.0010000000000000009,0.17600000016666667,0.0010000000000000009,30.24680199305716,232.87623678321285,4.3963353521390704e-07,6.950078668045245,-593.9539474243062,-40.38328845223967,-600.6188942506363,-4.725246646513494,-1.7019680975904041,-99.74542467052851,0.5095226948777128,-0.19639781886651403,4.83850294657132,2.792777577407081,0.32796939258969554,0.11885285415576433,53.15130638919855,1.4778576436717317,0.3535186210732016,126.12082866888342,16.09457112292333,-28.758655508986973,-233.13443259338362,1.2114878718081796e+23
2009-12-31,PU+,0.2051574075866667,0.3609,0.17785185216666669,0.14166666666666666,30.20235754905716,233.99043678321286,2.042399640439532e-07,18.81425011953539,588.8600911648741,1.0466916561843775,495.34768802563065,-0.14704737781350755,0.47731062354349935,-76.66459084805814,0.7265003189892817,-1.3356467826582772,5.407478855505815,3.096234330584132,0.47817601056418074,0.14872401171528574,53.772273551651395,1.8811922912966481,-0.20517864232358068,222.90915692428473,21.882784990932176,-28.533672606845855,-233.10028408195126,2.254247947259391e+23
2010-01-31,PU+,0.18663888892000002,0.6598916666666667,0.1593333335,0.4234583333333333,30.14680199305716,235.02753678321284,2.5454006739125524e-07,-9.460185175408942,60.34747684849107,-10.995246767759385,109.49782425335137,-0.18411382068942764,0.44224390055271,22.016266243570243,1.2278598589703407,-0.16385032889519022,4.657418796794504,3.3917161404473792,0.6161650112119895,0.17726816886679134,43.67740515088896,3.2272765630448226,0.38070239687664925,105.20443223270371,29.485173587799594,-28.294989267110175,-233.06668555246455,9.307992847326843e+18
2010-02-28,PU+,0.16730447337,0.4015116666666667,0.16522619065,0.22867833333333334,30.26465913605716,234.52472602065862,1.0986134837082822,-10.9360328382154,-49.68390894687133,3.6316942695103696,-61.613876462537874,0.39018189701247674,-0.21416612998055917,1527.7856493014062,1.4420817981442062,2.6084668163313323,3.4959207375038597,4.713239874606914,0.6766396975891614,0.18375556700138998,34.23324842926866,4.042852717147658,13.110050317642667,32.821307156601236,111.18080512070637,-28.179545955250347,-233.05891473654276,736734301293669.1
2010-03-31,PU+,0.35663888892,0.2677866666666667,0.3293333335,0.5368733333333333,30.99680199305716,235.19055933906813,1.0986125701050762,75.69084079736302,-40.50459470466545,68.97550220213559,85.34458301843154,2.3903371013852435,0.28350525739030796,-8.315969168258735e-05,1.5948914430260612,5.576691149809416,2.6003135320524295,6.684656519161867,0.6749935661829013,0.17227930225424076,31.841660370199847,4.741155207746664,263.7278063539622,13.308626676748876,799.8041006643414,-28.182781653275608,-233.07262718257329,67399611531314.21
2010-04-30,PU+,0.24069162325333335,0.5975916666666667,0.25470551233333333,0.5731583333333334,31.29126813905716,238.35773678321286,6.376557005534896e-07,-39.32072116451971,80.27170454355351,-25.696238537943817,6.539981363955354,0.9455047783439443,1.3376564527201806,-1435.9515437363923,1.547553888685873,7.583055379389861,2.604043002374553,8.820763862441108,0.6379443612796752,0.1558900648100171,35.57573282205146,4.513320597112958,1964.1543048495544,13.358948813036235,6773.204890170679,-28.254215589091523,-233.09193906819087,2820619176943157.0
2010-05-31,PU+,0.11246330959647062,0.043175490196078414,0.08564795023529413,0.12210686274509806,27.64149896205716,231.55493635044533,1.0986139961857675,-76.08895110470085,-262.76347113836573,-108.98627315931071,-154.62654165125875,-12.40208563808904,-2.8955489458479713,1435.9516735437332,1.0096263062332786,8.246789904025322,2.5186370665233277,9.854919079650298,0.5240274082358212,0.12394567125488283,42.847986665539814,2.5579363037953384,3814.890308744606,12.252335517978004,19051.61047350343,-28.457986471758954,-233.1286824115448,4.061104543436459e+18
2010-06-30,PU+,0.1923875520376471,0.45711960784313727,0.20946702338235296,0.2965274509803921,30.99907472105716,235.36213678321283,8.069319022519446e-07,53.68848062595478,235.96721029258995,89.43210280697518,88.7243212084208,11.463912727996583,1.6308184175407958,-1412.4075937928608,0.24630999606841067,7.848148393031449,1.8672547583709445,9.07690209592355,0.33822026267592314,0.06995539754570643,50.26689923909633,1.0926571999173444,2560.519814158095,6.311175551093723,8750.583074606178,-28.744352616417167,-233.18817643738896,6.77075286110001e+21
2010-07-31,PU+,0.2030079364914286,0.413152380952381,0.13284523821428573,0.26734761904761906,29.96138532605716,234.50993678321285,3.137551023597923e-07,5.373323650489752,-10.112859454067594,-45.53814924445121,-10.35900419552904,-3.404795956435186,-0.3627374267883729,-94.46265280677562,-0.5225927655847529,6.546159794328496,0.8992072263407749,6.726690221343599,0.1501643759640087,0.015186074014699893,55.913054833539626,0.40634220322044345,696.0959150532473,2.298320641812139,834.1493407343409,-28.984776757008284,-233.24533481485932,1.91748149127342e+24
2010-08-31,PU+,0.3769322722008989,0.5745071161048689,0.38801622987078654,0.5181895131086143,50.49957977005716,259.7373535859544,2.77259248266916,61.88204476802029,32.969599776222545,107.1862340073799,66.17912751681011,52.20556180941753,10.217298059514876,1599.443588095683,-0.837616687256326,4.727644007778079,-0.05430895325372152,3.657362796891292,0.06385509720258341,-0.008374190648950413,61.242203833126474,0.24610176277244583,112.56078640633382,0.7878061059823562,38.527259302269336,-29.080864062874806,-233.26897600799896,3.95504276984516e+26
