date,keyword,CN_00,C_00,L_00,R_00,C_GxP_0,C_BxP_0,MeanTB_00,MeanVADER_00
2011-05-31,PU+,1.0439768278903282e-06,45,4,6,0.5238095238095238,0.4761904761904763,0.045705246911111115,-0.16016222222222223
2011-06-30,PE,1.2443842215246635e-05,566,12,62,0.7225225225225226,0.2774774774774775,0.09138113762934323,0.11319540636042404
2011-06-30,PU+,9.014090650620354e-07,41,2,19,0.55,0.45,0.017402989975609757,-0.2662341463414634
2011-07-31,PU+,5.076051639120018e-07,25,0,0,0.2608695652173913,0.7391304347826086,-0.18563888892000002,-0.155012
2011-07-31,PE,1.476115816656101e-05,727,22,213,0.8274894810659187,0.17251051893408134,0.13615517478900815,0.1715215955983494
2011-08-31,PU+,8.003630599289944e-07,42,3,7,0.575,0.42499999999999993,0.0066495452857142905,0.028792857142857148
2011-08-31,PE,2.0885664611480427e-05,1096,31,167,0.5060018467220683,0.4939981532779317,0.10794618979923495,0.13471195255474452
2011-09-30,PE,1.7376660935667088e-05,878,23,158,0.6616454229432214,0.3383545770567787,0.09210029865888351,0.0604620728929385
2011-09-30,PU+,1.4447565470429356e-06,73,1,4,0.6027397260273972,0.3972602739726028,0.03899811778082193,-0.07721917808219178
2011-10-31,PE,1.387662347510789e-05,753,17,90,0.710204081632653,0.2897959183673469,0.08034048629915162,0.1006551128818061
2011-10-31,PU+,1.4005622630918986e-06,76,0,3,0.7999999999999999,0.19999999999999998,-0.05290653242105264,-0.26615
2011-11-30,PE,2.1836899766794605e-05,1273,31,227,0.6621297037630104,0.3378702962369896,0.07848443525903265,0.10166441476826395
2011-11-30,PU+,8.06232748656203e-07,47,0,1,0.6521739130434783,0.3478260869565218,-0.037559269617021274,-0.12098510638297873
2011-12-31,PE,2.600351968702622e-05,1657,57,405,0.7071516646115906,0.2928483353884094,0.10712596786787247,0.11990549185274593
2011-12-31,PU+,9.415879186611787e-07,60,1,35,0.875,0.125,0.06412878786666668,-0.003408333333333341
2012-01-31,PU+,1.6927129914797505e-06,119,1,7,0.23728813559322032,0.7627118644067796,0.06918873594957983,-0.013186554621848744
2012-01-31,PE,4.3000599775153664e-05,3023,124,1008,0.7281947261663286,0.2718052738336714,0.11329026117083367,0.15188693350975851
2012-02-29,PE,2.5656492722524297e-05,1778,55,343,0.749289368959636,0.25071063104036384,0.08259393395968899,0.10228323959505062
2012-02-29,PU+,6.20488856618979e-07,43,0,3,0.8048780487804877,0.1951219512195122,0.07596055027906977,-0.029027906976744185
2012-03-31,PE,2.796736413760912e-05,2113,71,565,0.8369876072449952,0.1630123927550048,0.09041528406060469,0.13781585423568388
2012-03-31,PU+,6.617928096925963e-07,50,17,69,0.8484848484848485,0.15151515151515152,0.0427939394,-0.247074
2012-04-30,PE,2.20074767804348e-05,1673,122,543,0.753317249698432,0.24668275030156817,0.08624484816194132,0.10849432157800358
2012-04-30,PU+,3.157079753319995e-07,24,1,1,0.8181818181818181,0.18181818181818182,0.005049382666666669,0.013916666666666666
2012-05-31,PU+,1.3578442407988286e-06,107,2,9,0.4313725490196078,0.5686274509803921,0.011926862084112148,-0.23000841121495327
2012-05-31,PE,2.8590869855324867e-05,2253,108,640,0.7477313974591652,0.25226860254083483,0.08146923526982643,0.09054145583666223
2012-06-30,PU+,8.028978634369058e-07,65,2,7,0.9137931034482759,0.08620689655172414,0.048390359661538464,-0.0170323076923077
2012-06-30,PE,2.719970915827795e-05,2202,238,1329,0.8107734806629834,0.1892265193370166,0.11400222242577912,0.17142157129881927
2012-07-31,PE,3.0006780473324133e-05,2550,187,1137,0.8090836012861736,0.19091639871382637,0.08592962565076535,0.12017129411764706
2012-07-31,PU+,6.825071637069803e-07,58,11,42,0.7017543859649122,0.2982456140350877,-0.02380485894827586,-0.10170689655172414
2012-08-31,PE,4.841309270635209e-05,4246,676,3218,0.8511805389935607,0.1488194610064393,0.18290485673524476,0.28114387658973156
2012-08-31,PU+,8.323494506744471e-07,73,1,7,0.6515151515151515,0.3484848484848485,0.024736627534246575,-0.10882054794520549
2012-09-30,PE,2.260164549128639e-05,1828,138,712,0.8348164627363738,0.16518353726362625,0.12336292114579804,0.1666167943107221
2012-09-30,PU+,8.654897069967436e-07,70,5,43,0.8676470588235294,0.1323529411764706,0.051657119642857144,0.05011
2012-10-31,PE,2.194860627179765e-05,1852,238,1148,0.8609125893347994,0.13908741066520067,0.1317366353548859,0.23896900647948166
2012-10-31,PU+,4.859032705959524e-07,41,1,5,0.8250000000000001,0.17500000000000002,0.039550997756097564,-0.07700975609756097
2012-11-30,PU+,5.856666086036791e-07,50,0,4,0.8333333333333334,0.16666666666666669,0.012885732399999999,-0.026535999999999994
2012-11-30,PE,4.031728933627727e-05,3442,275,1076,0.9241136829768533,0.0758863170231468,0.11486523278240428,0.22092097617664147
2012-12-31,PE,1.9420219356177743e-05,1679,190,518,0.8507917174177831,0.1492082825822168,0.1305617846765107,0.17918725431804644
2012-12-31,PU+,6.592927357368262e-07,57,3,56,0.6296296296296295,0.37037037037037035,0.004028220807017542,-0.05182982456140351
2013-01-31,PE,2.8510581753329503e-05,2632,380,1286,0.9056748466257669,0.09432515337423313,0.1130852234513765,0.17995843465045594
2013-01-31,PU+,7.690924409142836e-07,71,61,116,0.9428571428571428,0.05714285714285714,-0.022741448746478873,-0.025869014084507053
2013-02-28,PE,2.3442589818938733e-05,1901,389,966,0.8772504091653027,0.12274959083469722,0.13824157513816765,0.20120405049973697
2013-02-28,PU+,8.632200354159449e-07,70,3,6,0.8142857142857143,0.18571428571428572,0.018631313114285716,-0.04630142857142858
2013-03-31,PU+,5.970692147868404e-07,53,3,5,0.7884615384615384,0.2115384615384615,0.005610286339622644,-0.08144905660377358
2013-03-31,PE,2.3702521281349288e-05,2104,337,1028,0.7928015564202335,0.20719844357976655,0.10771852893337591,0.171486644486692
2013-04-30,PE,2.0459364192585186e-05,1769,219,579,0.8190201729106629,0.1809798270893372,0.11584014776455773,0.144936009044658
2013-04-30,PU+,5.898403469880409e-07,51,2,4,0.875,0.125,0.031742671784313725,-0.19118235294117647
2013-05-31,PE,3.146043239536813e-05,2726,579,1641,0.8254027725739977,0.17459722742600225,0.10729038124362518,0.2230454512105649
2013-05-31,PU+,8.540249439681735e-07,74,4,8,0.8115942028985508,0.18840579710144928,0.06361861862162163,-0.009222972972972972
2013-06-30,PE,2.276626087687832e-05,1896,301,842,0.8165584415584416,0.18344155844155843,0.11321149104731316,0.1602045358649789
2013-06-30,PU+,4.442782977027942e-07,37,17,34,0.823529411764706,0.17647058823529413,0.07548798797297297,-0.05463513513513514
2013-07-31,PE,2.122949361783259e-05,1825,303,939,0.8439241917502787,0.1560758082497213,0.08707689978400594,0.15261106849315068
2013-07-31,PU+,5.932625613750477e-07,51,13,34,0.8333333333333333,0.16666666666666666,0.05528396713725491,0.05106078431372549
2013-08-31,PE,2.6270585734942134e-05,2388,592,1610,0.8537515896566341,0.14624841034336583,0.09173732589504606,0.15293438023450584
2013-08-31,PU+,6.050595541967409e-07,55,6,14,0.7254901960784315,0.27450980392156865,-0.022306014745454548,0.015156363636363638
2013-09-30,PE,2.065120673709012e-05,1698,334,1076,0.7422062350119903,0.2577937649880096,0.10106939625233205,0.09786566548881036
2013-09-30,PU+,4.4999684880585066e-07,37,9,9,0.7272727272727273,0.27272727272727276,-0.06551622856756756,-0.14317567567567568
2013-10-31,PE,2.0990781373590255e-05,1680,349,1066,0.7584951456310679,0.24150485436893201,0.08500518118758446,0.19172315476190477
2013-10-31,PU+,4.4980245800550544e-07,36,7,49,0.6176470588235293,0.38235294117647056,-0.03377625461111111,-0.179875
2013-11-30,PE,5.030533795381258e-05,3745,1334,3114,0.5523524612455806,0.4476475387544193,0.06905936384703908,0.057243631508678235
2013-11-30,PU+,7.670052862917753e-06,571,63,226,0.5657657657657658,0.43423423423423424,-0.03330994856042031,-0.4468171628721541
2013-12-31,PU+,6.777741227707002e-07,53,26,61,0.6444444444444444,0.3555555555555555,0.06586096813207547,-0.0798811320754717
2013-12-31,PE,1.8389418651778622e-05,1438,487,1032,0.7082152974504249,0.29178470254957506,0.0778201055386817,0.08863810848400556
2014-01-31,PE,2.7000584818273468e-05,2176,747,1303,0.8064667291471416,0.19353327085285849,0.13079265755238725,0.14251461397058823
2014-01-31,PU+,6.824596346530518e-07,55,17,37,0.6037735849056604,0.39622641509433965,0.04930969603636364,-0.1182709090909091
2014-02-28,PE,1.83836264917535e-05,1288,459,597,0.7639109697933226,0.23608903020667724,0.10361117132953312,0.09872476708074535
2014-02-28,PU+,4.7100906384151053e-07,33,10,15,0.71875,0.28125,0.0022875535151515173,-0.15596060606060605
2014-03-31,PE,2.1777778601402686e-05,1704,422,693,0.8482142857142857,0.1517857142857143,0.10521740810190255,0.13379072769953052
2014-03-31,PU+,7.284820306807237e-07,57,7,11,0.6785714285714285,0.3214285714285714,-0.008388775000000001,-0.19843333333333335
2014-04-30,PU+,8.598479944073268e-07,62,5,5,0.5483870967741935,0.45161290322580644,0.008221326177419356,-0.18993709677419354
2014-04-30,PE,2.206480901777511e-05,1591,510,887,0.8363518758085382,0.16364812419146185,0.10997277844516215,0.10515003142677562
2014-05-31,PU+,1.7562219722375581e-06,124,22,43,0.43333333333333335,0.5666666666666667,-0.0026030855403225755,-0.21742338709677422
2014-05-31,PE,4.373559234088371e-05,3088,1562,2317,0.7937974265918839,0.20620257340811612,0.11863983840436033,0.12899682642487045
2014-06-30,PE,2.4053182816201364e-05,1644,477,703,0.7586423632935261,0.2413576367064739,0.0948368683504024,0.09267487834549877
2014-06-30,PU+,7.754371589164673e-07,53,3,10,0.7358490566037735,0.2641509433962264,-0.003590146773584905,-0.19557358490566037
2014-07-31,PE,3.572907487031248e-05,2475,482,767,0.6287251655629139,0.37127483443708603,0.06328907886912935,-0.08980020202020202
2014-07-31,PU+,6.351835532499997e-07,44,1,4,0.627906976744186,0.37209302325581395,0.0162247475,-0.14338636363636365
